id,age,no_dependents,cltv,population,monthly_charge,extra_data_charge,long_charge,total_contact,noreferral,duration,download,total_service_issue
3398-GCPMU,77,2,4419,32369,79.508,101,188.65,3,0,7,20,0
1013-QCWAM,78,1,5980,57146,98.8,358,127.49,2,0,11,32,2
0336-PIKEI,65,0,4616,33817,77.376,344,436.65,0,0,15,32,0
7322-OCWHC,77,0,5828,62660,41.808,0,0,2,1,1,13,0
5732-IKGQH,67,0,2314,30802,42.796,41,0,7,0,3,31,1
0093-EXYQL,79,0,4788,14575,24.65,0,337.25,1,0,71,0,0
9168-INPSZ,73,0,5209,62036,19.55,0,1113,0,2,70,0,0
0015-UOCOJ,74,0,4306,47140,49.8,35.98,81.83,2,4,49,15,0
5334-AFQJB,69,1,4309,66838,96.55,0,498.72,0,9,24,23,0
2754-SDJRD,71,0,4333,29340,78.5,26,457.38,1,0,11,3,0
